,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,kitchen_area,cityCenters_nearest,days_exposition
217,6550000,79.0,4,2.6,9,55.3,6,10.0,16010.0,122
218,4690000,35.0,1,2.7,17,16.0,15,9.8,13151.0,95
219,7700000,58.7,1,2.7,7,17.0,3,15.7,4670.0,136
220,3890000,37.0,1,2.5,25,28.0,6,9.0,16166.0,28
222,5950000,59.6,2,2.7,25,31.48,17,13.29,10820.0,182
226,7950000,86.4,4,2.7,3,52.7,1,12.7,2468.0,95
229,7290000,74.3,3,2.7,24,41.9,3,16.5,10987.0,68
230,3250000,34.3,1,2.7,11,14.73,7,9.36,24137.0,92
231,4250000,56.9,3,2.7,9,38.8,8,6.2,12943.0,546
232,3900000,42.2,1,2.7,14,14.7,4,10.4,12102.0,166
233,19800000,118.0,3,2.8,25,62.0,3,21.5,12348.0,95
234,7820000,57.0,2,2.7,5,33.0,3,8.0,5700.0,95
236,3650000,35.8,1,2.5,14,20.3,2,7.7,16030.0,48
238,5420000,43.4,1,2.7,24,23.016770969118816,2,12.4,11634.0,95
239,22000000,119.0,3,3.5,5,56.0,3,35.0,2004.0,77
240,4700000,42.0,2,2.7,5,27.0,2,6.0,13619.0,116
241,7990000,55.0,2,2.8,16,29.0,6,10.0,11838.0,127
242,7250000,57.0,2,2.7,6,29.0,5,10.0,12619.0,18
244,6850000,57.1,2,2.7,9,29.5,4,9.0,10315.0,356
245,6000000,46.4,1,2.5,16,18.0,5,11.5,13344.0,120
246,4500000,52.5,2,2.6,14,29.5,11,7.5,11753.0,9
248,4100000,31.0,1,3.0,17,10.0,6,21.0,8672.0,637
252,5000000,43.0,1,2.8,16,17.0,11,12.5,8672.0,103
253,3340000,37.0,1,2.7,5,19.0,4,10.0,25866.0,75
254,3350000,31.2,1,2.5,9,15.6,9,8.2,16431.0,21
256,5350000,65.6,3,2.5,9,42.8,2,9.5,15566.0,85
260,17250000,102.4,3,2.7,8,53.2,3,19.3,11096.0,95
262,37500000,158.0,4,2.7,12,88.0,4,40.0,4593.0,95
263,39900000,140.6,2,3.5,8,39.8,7,49.2,6589.0,95
266,3930000,37.9,1,2.7,10,17.8,6,8.3,15280.0,104
267,14700000,120.0,3,2.75,20,63.0,18,16.0,10430.0,61
269,4200000,60.1,3,2.65,9,43.0,1,7.0,14249.0,214
270,3700000,34.0,1,2.6,10,18.0,8,8.0,13995.0,95
273,4750000,57.2,2,2.5,10,29.8,1,11.6,16267.0,542
274,4318000,37.55,1,2.7,14,15.2,10,8.9,23810.0,694
276,23900000,108.4,3,3.06,7,57.48889338830599,6,50.91110661169402,5026.0,96
277,4600000,65.0,3,2.7,15,44.0,11,11.0,14619.0,90
278,6000000,56.7,2,3.2,5,34.1,5,9.6,9274.0,95
279,18450000,134.0,4,2.7,18,78.0,17,30.0,11920.0,95
280,4900000,63.0,2,2.7,9,34.4,5,28.6,16747.0,22
282,37000000,115.0,2,2.7,5,65.0,2,14.0,1995.0,158
285,3200000,31.4,1,2.6,9,16.0,7,9.0,10458.0,132
288,3810000,41.68,1,2.7,19,19.0,4,10.44,14635.0,67
289,3150000,33.0,1,2.7,6,18.0,4,7.0,17371.0,45
291,5900000,70.0,3,2.51,5,47.4,1,8.0,4132.0,480
294,3850000,37.0,1,2.5,16,18.2,15,8.8,11491.0,3
297,5200000,56.8,2,2.7,12,30.123331590920476,11,26.67666840907952,14877.0,483
299,5550000,68.0,2,2.7,8,37.0,3,13.0,16470.0,136
300,7200000,70.6,3,2.6,9,48.0,6,8.0,11223.0,63
304,2950000,32.0,1,2.5,5,16.970891037138298,1,15.029108962861702,15133.0,43
305,6283000,70.8,3,2.7,5,50.9,5,8.2,4235.0,61
307,5350000,65.0,2,2.78,25,30.0,9,12.0,15142.0,52
309,4800000,58.0,3,2.7,5,42.0,1,6.0,9467.0,53
311,12500000,86.0,3,2.8,25,47.0,3,13.0,15686.0,95
312,3190000,31.0,1,2.65,9,18.0,4,6.5,16446.0,51
314,5100000,48.6,2,2.7,3,32.5,3,8.0,8765.0,12
315,13900000,108.0,4,2.7,6,76.9,2,11.2,3876.0,156
316,5650000,46.3,2,2.7,6,28.8,2,9.0,3144.0,89
317,3050000,29.4,1,2.7,5,15.1,4,7.3,9857.0,225
318,9990000,67.0,1,2.84,9,37.0,7,17.0,5129.0,50
319,4850000,59.7,3,2.5,5,47.4,4,6.4,15599.0,974
320,12734000,97.0,3,2.7,10,51.2,7,18.4,5223.0,195
323,9591727,72.0,2,2.8,10,34.0,9,17.0,5384.0,118
324,6090000,62.0,2,2.7,28,30.0,22,10.0,21683.0,323
325,4500000,42.1,2,2.5,9,28.0,2,7.0,10773.0,95
326,3900000,45.4,2,2.7,5,27.8,3,7.1,15543.0,121
327,3200000,32.0,1,2.8,12,17.0,2,6.0,14561.0,9
328,4950000,45.8,2,2.55,9,26.7,9,6.3,15101.0,95
329,7500000,67.0,2,2.7,17,34.0,15,13.0,12441.0,15
330,7100000,50.0,3,2.7,5,31.5,1,5.0,2043.0,900
332,3300000,32.9,1,2.7,12,17.9,7,6.2,16122.0,7
334,6000000,58.0,2,3.0,5,36.6,2,7.9,9974.0,445
335,21800000,163.4,5,3.5,5,119.5,2,10.0,5493.0,106
336,7700000,79.0,3,2.9,12,47.0,11,15.0,14116.0,95
337,5500000,55.0,2,2.7,9,31.2,4,8.5,12622.0,7
339,3980000,46.2,2,2.5,5,28.7,3,6.4,8669.0,550
340,3200000,32.2,1,2.65,9,19.0,5,6.5,14856.0,45
341,2950000,30.0,1,2.5,9,16.0,5,7.0,11734.0,168
342,9900000,85.0,3,2.78,25,49.0,14,13.0,8913.0,95
344,6200000,46.9,2,3.0,5,28.3,5,7.9,6337.0,183
345,3300000,33.0,1,2.5,15,18.6,1,6.3,16472.0,17
348,3500000,34.4,1,2.55,16,18.6,5,7.1,14515.0,143
351,8350000,87.1,3,3.1,5,66.9,2,9.5,4855.0,95
352,5496074,48.6,1,2.7,11,13.0,3,15.0,5299.0,60
353,5990000,43.5,1,3.0,5,25.0,4,9.4,10278.0,1292
354,7030000,42.6,2,2.7,11,29.0,2,10.0,15595.0,95
356,6500000,69.7,3,2.5,9,42.0,4,7.9,15039.0,13
357,8560000,65.7,2,2.76,11,30.9,6,13.1,5045.0,11
358,4600000,50.0,2,2.7,9,32.0,7,6.0,15537.0,14
359,7000000,83.1,4,3.05,6,56.5,4,8.9,4873.0,95
361,7400000,69.2,3,2.7,12,43.78,12,7.06,14258.0,34
366,3400000,29.9,1,2.5,5,15.4,5,7.2,13846.0,103
368,12500000,85.0,3,3.7,6,56.5,6,22.0,5777.0,4
371,7300000,65.0,2,2.7,12,30.04,2,10.2,17623.0,92
373,5150000,55.4,3,2.7,5,40.4,3,5.0,8382.0,50
375,25000000,140.0,3,2.8,25,60.0,21,30.0,12721.0,188
377,4110000,41.0,3,2.5,5,28.4,2,5.3,10742.0,15
379,21000000,96.0,2,3.0,7,20.0,1,36.0,2391.0,153
380,4600000,40.0,1,2.65,17,18.0,2,11.4,11348.0,56
383,5800000,66.0,3,2.7,9,42.0,8,8.5,16376.0,662
384,4100000,41.5,1,2.7,17,16.5,14,11.7,16005.0,45
385,4100000,36.8,1,2.6,10,17.7,6,8.3,12325.0,72
388,3800000,36.5,1,2.7,16,16.3,12,9.0,14660.0,276
389,8500000,103.8,4,2.7,5,74.6,3,9.5,9120.0,368
390,6760000,70.5,3,2.65,16,42.4,10,10.8,11581.0,39
391,8700000,71.0,2,3.0,25,33.0,19,14.2,15925.0,776
392,3900000,41.3,2,2.55,5,21.903056244806614,3,19.396943755193384,11738.0,45
394,4000000,37.0,1,2.7,9,17.8,9,8.3,15561.0,44
396,4200000,43.0,2,2.7,5,28.0,3,5.1,9421.0,349
397,5990000,54.0,2,2.7,36,21.4,28,18.7,20444.0,11
398,12789000,79.3,2,3.0,8,43.1,5,17.6,11096.0,1345
399,5900000,65.3,3,2.5,9,42.7,4,9.9,14667.0,95
401,5390000,68.0,3,2.5,5,45.0,3,7.0,14388.0,13
402,4370000,55.0,3,2.7,2,38.0,2,5.0,23111.0,722
403,3600000,45.0,2,2.7,9,28.0,6,7.0,12786.0,128
404,11400000,81.2,3,2.7,3,45.7,2,14.3,2669.0,89
406,4125000,37.5,1,2.55,9,14.6,2,8.4,13832.0,62
408,5812413,89.7,3,2.7,23,47.0,14,16.5,17399.0,140
410,10850000,72.0,2,2.75,21,35.0,15,18.0,13495.0,300
411,40662000,151.0,3,2.7,8,85.0,3,23.0,5975.0,594
412,3050000,30.4,1,2.52,5,18.0,2,5.3,10602.0,29
413,4250000,37.0,1,2.7,16,18.5,2,10.0,14133.0,25
414,5600000,41.41,1,2.7,13,12.3,10,11.24,11487.0,227
415,6800000,67.0,3,2.5,10,42.8,1,8.3,16601.0,96
416,5200000,52.0,2,2.7,12,30.5,12,9.0,12010.0,60
417,14200000,178.0,5,3.3,4,126.6,2,19.4,2835.0,104
418,3100000,30.0,1,2.6,5,17.0,3,5.5,9642.0,14
420,4900000,38.5,1,2.7,25,18.0,7,10.2,10001.0,70
424,11500000,98.0,3,2.65,3,88.0,3,10.0,13270.0,90
425,5300000,58.7,2,2.75,23,32.7,9,11.8,17547.0,212
426,6950000,77.0,3,2.7,5,40.0,3,13.3,3349.0,134
427,3400000,38.7,1,2.7,12,16.5,3,10.0,21538.0,12
429,3997000,57.0,3,2.7,5,37.0,1,6.0,15517.0,8
430,4850000,60.6,3,2.55,9,44.0,6,7.0,11390.0,38
433,6800000,57.8,3,2.8,5,33.7,4,9.7,1166.0,402
435,6800000,61.8,2,2.7,19,34.2,3,10.6,11313.0,11
436,5000000,60.2,3,2.55,9,43.0,9,6.4,15727.0,114
438,7410000,70.0,2,2.7,12,37.12382414374002,5,32.87617585625998,5384.0,229
440,2480000,27.11,0,2.7,17,24.75,4,2.3599999999999994,15015.0,64
441,3700000,35.6,1,2.7,10,17.0,9,7.0,11212.0,77
442,4200000,35.0,1,2.7,25,15.0,24,9.0,12148.0,6
443,7000000,52.4,1,2.6,17,17.7,2,17.7,12719.0,95
444,4200000,47.5,2,2.7,9,28.0,5,8.0,13037.0,90
445,5500000,45.0,2,2.5,9,30.0,2,6.0,10878.0,95
447,12084000,86.6,3,2.7,13,45.927473869255515,6,40.67252613074448,8370.0,90
448,4990000,58.0,3,2.5,9,35.0,5,6.2,15843.0,193
449,12500000,96.0,4,3.2,4,70.9,4,9.2,2528.0,19
450,6550000,53.0,2,3.5,5,31.0,4,7.0,1429.0,96
451,4250000,42.0,1,2.7,19,18.0,13,13.0,13190.0,81
453,3490000,54.7,3,2.5,5,37.7,1,5.1,16858.0,8
454,7950000,51.6,1,2.7,10,12.7,10,23.1,7508.0,98
455,8500000,65.0,3,2.55,7,43.0,2,7.5,7866.0,95
459,5200000,51.0,2,2.55,9,32.0,5,6.0,16360.0,1153
460,4200000,42.4,1,2.5,10,17.0,2,10.8,16084.0,73
461,4700000,59.0,3,2.5,9,38.5,7,7.0,16848.0,70
463,5150000,50.0,2,3.1,4,28.5,3,8.5,4986.0,122
464,66571000,280.3,6,5.2,8,159.5,7,21.1,6655.0,578
465,4900000,69.3,2,2.7,5,34.0,4,11.33,25200.0,349
466,15900000,85.0,3,2.7,20,45.078929317398604,2,39.921070682601396,13145.0,90
467,7000000,69.0,2,2.64,17,34.6,1,14.0,11871.0,706
468,4100000,41.6,1,2.7,17,16.5,12,11.7,16005.0,189
469,6800000,77.2,3,2.6,18,47.4,3,13.5,12449.0,434
470,4900000,33.5,1,2.7,18,17.3,2,8.6,10163.0,76
471,5700000,68.7,2,2.64,17,34.6,12,14.2,11871.0,384
472,6910000,62.7,3,2.55,10,33.25233962589285,7,29.44766037410715,14114.0,120
473,4950000,48.2,2,2.7,9,30.0,7,6.0,9409.0,51
475,16512000,103.2,3,2.7,11,55.7,5,19.5,7101.0,12
477,3700000,40.9,1,2.7,22,13.0,9,11.4,13486.0,263
479,13500000,118.3,4,2.78,20,60.0,7,16.5,12627.0,69
480,7050000,78.0,3,2.7,5,54.0,3,8.0,10779.0,470
481,6300000,46.5,1,2.8,5,30.0,4,12.0,4827.0,59
482,6570000,43.0,1,2.5,24,20.0,4,15.0,11459.0,106
483,10000000,70.0,2,3.45,6,40.0,6,20.0,3172.0,429
484,10000000,97.8,3,2.7,25,47.3,6,13.2,15277.0,92
485,5400000,70.4,3,2.8,6,41.8,2,10.5,8512.0,552
486,6650000,73.0,2,2.7,4,49.0,4,24.0,3621.0,638
491,8900000,66.1,3,2.75,11,43.6,5,17.2,15032.0,60
492,95000000,216.0,4,3.0,5,86.0,4,77.0,436.0,14
494,5100000,60.5,2,2.7,18,29.8,10,13.8,21823.0,277
495,10400000,104.0,5,3.5,6,70.0,4,14.0,2074.0,702
496,13460000,136.2,4,3.0,6,99.5,5,10.2,4699.0,95
497,8351000,60.7,2,2.77,25,34.1,8,12.3,16186.0,54
498,5100000,55.15,2,2.7,5,35.0,1,7.8,8098.0,139
501,4157000,60.2,3,2.7,9,43.4,1,6.3,11537.0,92
502,11250000,71.0,2,2.7,3,43.0,3,8.0,1217.0,35
504,3950000,54.5,3,2.5,5,35.0,1,7.0,13591.0,5
505,4500000,58.0,2,2.7,16,31.1,2,10.0,22291.0,402
506,5600000,48.0,2,2.7,21,27.5,7,10.5,16219.0,217
509,90000000,225.0,6,2.7,4,134.0,2,19.5,5720.0,416
510,3700000,34.0,1,2.5,9,17.6,9,7.7,11382.0,40
512,6260000,43.3,1,2.7,8,22.963736934627757,5,20.33626306537224,10720.0,1155
513,16500000,92.2,3,2.87,24,62.4,20,11.0,7877.0,156
516,4150000,41.3,3,2.5,5,30.8,5,5.5,9912.0,20
517,6800000,65.53,3,2.7,2,47.7,2,5.8,11236.0,58
519,6800000,71.3,3,2.66,16,43.0,10,10.8,13060.0,531
520,11700000,68.1,2,2.7,17,35.4,10,15.4,12291.0,95
523,6300000,53.3,1,2.8,10,22.6,4,11.7,15025.0,388
527,4200000,57.0,3,2.5,5,40.0,2,6.0,18458.0,94
528,5500000,54.0,2,3.0,10,28.638378625170876,1,10.0,12548.0,158
530,5200000,45.1,1,2.5,10,20.1,8,12.2,14499.0,23
531,4300000,50.0,2,2.7,12,30.5,3,7.0,13478.0,193
532,6800000,90.0,3,2.6,9,43.3,1,25.0,12065.0,608
533,5900000,67.4,3,2.5,9,48.5,8,6.2,20410.0,95
535,12500000,130.0,5,3.0,7,82.0,5,8.7,8970.0,90
536,9500000,100.0,4,2.75,15,60.9,6,10.5,16139.0,95
539,3250000,40.0,1,2.7,10,21.213613796422873,1,18.786386203577127,25619.0,45
540,7500000,78.0,3,3.2,5,47.8,3,10.5,14000.0,78
544,4847000,39.1,1,2.65,12,20.1,2,8.4,13973.0,95
545,4700000,23.8,1,2.7,18,18.8,9,5.0,11849.0,108
546,6000001,25.0,1,3.0,5,13.258508622764294,5,11.741491377235706,3871.0,17
547,8000000,71.7,3,2.65,9,48.2,3,9.0,6987.0,5
548,9411080,81.13,3,2.9,24,50.25,6,14.2,10944.0,60
550,5300000,38.0,1,2.64,18,16.0,14,9.0,12342.0,325
552,2999000,33.5,1,2.0,15,17.5,6,6.5,11746.0,270
553,4700000,61.3,2,2.75,18,26.0,6,13.8,21240.0,60
554,4900000,56.4,3,2.7,5,36.0,5,7.6,15186.0,485
555,7680000,83.1,3,2.7,3,50.9,3,10.3,1803.0,228
557,3120000,32.4,1,2.5,9,17.9,2,6.2,16890.0,7
559,8100000,70.8,3,2.84,7,49.5,4,8.6,4358.0,927
560,4080000,43.0,2,2.7,16,24.7,8,12.5,6565.0,211
563,5950000,42.0,1,2.85,13,18.0,9,12.0,8628.0,95
565,8945261,67.7,2,3.3,16,38.95,9,9.9,8460.0,205
566,7000000,54.4,2,2.75,18,29.6,10,8.6,13491.0,7
567,9300000,106.9,1,3.1,4,38.6,2,10.0,15759.0,59
569,4160000,50.0,2,2.7,25,18.0,17,12.5,17634.0,49
570,8107000,73.7,2,2.59,24,33.260002,3,14.5,10852.0,41
571,4600000,51.0,2,2.65,16,29.0,7,10.2,11764.0,189
572,8400000,64.4,2,2.75,18,31.5,6,17.2,8092.0,146
573,5026719,64.6,2,2.75,23,31.9,9,15.5,17121.0,594
574,15300000,113.1,2,3.0,6,48.2,2,23.1,3432.0,317
575,6275000,71.6,3,2.7,12,43.1,9,10.9,11537.0,414
576,8600000,100.0,3,2.7,5,42.5,2,31.0,8839.0,50
580,5270000,56.7,3,2.5,5,42.0,3,5.1,13279.0,95
581,65000000,365.0,7,2.9,7,193.5742258923587,7,171.4257741076413,1690.0,95
582,3500000,38.0,2,2.7,9,20.15293310660173,8,17.84706689339827,12575.0,3
583,9150000,86.0,3,2.8,17,55.0,4,13.0,11592.0,60
585,10300000,64.6,2,2.8,25,31.5,21,15.5,11062.0,95
586,4900000,40.0,1,2.75,24,18.0,24,11.0,14657.0,246
587,4500000,38.6,1,2.7,17,20.0,15,10.6,13554.0,322
588,13900000,165.0,5,2.7,5,114.0,4,13.0,4284.0,45
589,8150000,60.0,2,2.7,14,34.6,2,9.2,10841.0,66
590,8200000,70.0,2,2.7,13,40.0,7,11.0,9436.0,194
591,4300000,44.0,2,2.7,5,28.3,2,5.9,8555.0,35
597,4500000,42.0,1,2.7,10,19.0,8,9.0,12232.0,15
600,3950000,33.2,1,2.5,12,18.1,4,6.3,16830.0,110
601,5600000,53.7,2,2.5,12,46.7,5,7.0,13252.0,167
603,3250000,32.0,1,2.5,9,18.0,6,6.0,9858.0,27
605,22000000,110.0,2,3.2,5,66.0,4,13.0,2102.0,287
607,16500000,142.0,5,2.7,4,95.0,4,18.0,2970.0,95
609,5100000,44.0,1,2.6,16,17.0,11,10.0,16964.0,137
611,3650000,46.6,2,2.5,5,24.713860072832645,3,6.0,12753.0,116
612,35000000,135.0,3,2.7,15,60.0,9,23.4,5881.0,5
614,5250000,41.0,1,2.8,16,16.8,5,9.5,17385.0,119
616,15000000,187.3,5,2.56,16,112.4,1,16.2,21603.0,95
617,12036000,100.0,3,2.7,16,52.0,3,11.0,8434.0,606
618,5000000,42.4,2,2.7,9,26.0,5,8.2,11110.0,29
619,4200000,64.5,3,2.8,4,50.64,1,6.0,15264.0,343
620,15800000,130.0,5,2.7,5,83.0,2,14.0,4235.0,95
621,6100000,60.7,2,2.77,25,30.5,2,9.2,13495.0,42
623,6000000,57.4,2,2.7,23,27.9,21,11.4,16685.0,25
624,3600000,42.4,2,2.5,5,28.0,3,5.5,11285.0,64
625,4950000,50.0,2,2.65,16,26.5,11,11.0,12471.0,55
627,4150000,45.0,2,2.7,5,28.0,4,6.0,12234.0,154
628,5500000,55.0,2,2.7,16,32.5,14,10.0,13082.0,97
629,3910000,39.9,1,2.7,25,17.3,22,11.6,11905.0,18
